Bà La Môn
thợ kim hoàn
thợ thủ công
thủ công nghiệp
thủ vĩ ngâm
thứ dân viện
thực chứng luận
thực tại ảo
thực tập sinh
thực vật học
tia cực tím
tia hồng ngoại
tia tử ngoại
tia vũ trụ
tin học hoá
tinh thể học
tinh thể lỏng
tiên sư cha
tiếc hùi hụi
tiến hoá luận
tiếng mẹ đẻ
tiếng phổ thông
tiếng địa phương
tiền hôn nhân
tiền khả thi
tiền khởi nghĩa
tiền liệt tuyến
tiền mãi lộ
tiền mãn kinh
tiền sử học
tiền âm phủ
tiền định luận
tiểu công nghiệp
tiểu gia súc
tiểu khí hậu
tiểu qui mô
tiểu quy mô
tiểu sản xuất
tiểu thuỷ nông
tiểu thủ công
tiểu tuần hoàn
tiểu tư sản
tiểu đoàn bộ
tiểu đoàn trưởng
tiểu đội trưởng
to tổ bố
toà giám mục
toàn cầu hoá
toán kinh tế
trang thiết bị
tranh dân gian
tranh hoành tráng
tranh khảm màu
tranh khắc gỗ
tranh khắc đồng
tranh sơn dầu
tranh sơn mài
tranh sơn thuỷ
tranh thuỷ mạc
tranh thần thoại
tranh tôn giáo
tranh tứ bình
tranh đồ hoạ
tre là ngà
tre đằng ngà
trung bình cộng
trung bình nhân
truyện cổ tích
truỵ tim mạch
tràn cung mây
trân châu lùn
trình dược viên
trình soạn thảo
trăng lưỡi liềm
trơ mắt ếch
trơ thổ địa
trường giáo dưỡng
trường sinh học
trường đoản cú
trại cải tạo
trại mồ côi
trại tập trung
trần trùi trụi
trắc bách diệp
trắc địa học
trắc địa mỏ
trắng lôm lốp
trắng phau phau
trọc lông lốc
trống hông hốc
trồng cây chuối
trời có mắt
trời đất ơi
trợ động từ
trụi thui lủi
trừu tượng hoá
trực thăng vận
tu nghiệp sinh
tu từ học
tuyên bố chung
tuyên truyền viên
tuyến giáp trạng
tuyến nội tiết
tuyến thượng thận
tuyến tiền liệt
tuần dương hạm
tuần trăng mật
tuốt tuồn tuột
tuổi hồi xuân
tàu con thoi
tàu há mồm
tàu khu trục
tàu sân bay
tàu tuần dương
tàu tuần tiễu
tàu tốc hành
tàu vũ trụ
tàu điện ngầm
tàu đổ bộ
tái sản xuất
tái vũ trang
tâm lí chiến
tâm lí học
tâm lý chiến
tâm lý học
tâm sinh lí
tâm sinh lý
tâm thần học
tâm đối xứng
tây bán cầu
tên cúng cơm
tình báo viên
tình dục học
tính giai cấp
tính nhân dân
tính nhân quả
tính tư tưởng
tính đồng nhất
tít mù tắp
tít thò lò
tóc rễ tre
tóc đuôi gà
tóp tòm tọp
tôm càng xanh
tôn giáo học
tú lơ khơ
túi du lịch
