Bà La Môn giáo
quản lí nhà nước
quản lý nhà nước
rì rà rì rầm
ríu ra ríu rít
rầm rầm rộ rộ
rối ra rối rít
rối rít tít mù
rối tinh rối mù
rối tung rối mù
rỗng tuếch rỗng toác
rộng chân rộng cẳng
rộng huếch rộng hoác
rủ rỉ rù rì
sao y bản chính
sen đầm quốc tế
sinh sản hữu tính
sinh sản vô tính
siêu tập ngữ liệu
song thất lục bát
suy lí gián tiếp
suy lí trực tiếp
suy lý gián tiếp
suy lý trực tiếp
suy nhược thần kinh
sở hữu trí tuệ
sừng sừng sộ sộ
sự vụ chủ nghĩa
tam quyền phân lập
tang gia bối rối
tham tán công sứ
thang nhiệt độ Celsius
thang nhiệt độ Fahrenheit
thau chua rửa mặn
thiết bị hiển thị
thiết bị ngoại vi
thiết bị đầu cuối
thu nhập quốc dân
thu nhập thuần tuý
thu va thu vén
thuyết bất khả tri
thuyết duy ý chí
thuần phong mĩ tục
thuần phong mỹ tục
thuế quan bảo hộ
thuỷ sư đô đốc
thì thà thì thầm
thì thà thì thụt
thông tin đại chúng
thư tín điện tử
thương mại điện tử
thưỡn thà thưỡn thẹo
thượng tầng kiến trúc
thất ngôn bát cú
thần kinh ngoại biên
thần kinh trung ương
thầy thuốc nhân dân
thầy thuốc ưu tú
thậm thà thậm thụt
thế giới thứ ba
thế giới vi mô
thế giới vĩ mô
thể dục dụng cụ
thể dục nhịp điệu
thể dục thẩm mĩ
thể dục thẩm mỹ
thể dục thể hình
thị trường chứng khoán
thị trường tiền tệ
thời đại đồ sắt
thời đại đồ đá
thời đại đồ đồng
thụ phấn nhân tạo
thụ tinh nhân tạo
thực tình mà nói
thực tại khách quan
thực vật bậc thấp
tiến sĩ khoa học
trung học chuyên nghiệp
trung học cơ sở
trung học phổ thông
trung ương tập quyền
truy cập ngẫu nhiên
truy cập tuần tự
trí tuệ nhân tạo
trùng trùng điệp điệp
trưởng đoàn ngoại giao
trị ngoại pháp quyền
tuyệt đại bộ phận
tuyệt đại đa số
tuỳ cơ ứng biến
tài nào mà chẳng
tài sản cố định
tài sản lưu động
tên lửa vũ trụ
tên lửa đường đạn
tên lửa đạn đạo
tình cảm chủ nghĩa
tí ta tí toét
tía lia tía lịa
tóp ta tóp tép
tư bản bất biến
tư bản chủ nghĩa
tư bản cố định
tư bản khả biến
tư cách pháp nhân
tư liệu lao động
tư liệu sản xuất
tư pháp quốc tế
tương quan lực lượng
tương thân tương ái
tỉ giá hối đoái
tỉ giá thả nổi
tỉ lệ bản đồ
tỉ lệ phần trăm
tồn tại xã hội
tổng công trình sư
tổng lãnh sự quán
tổng tham mưu trưởng
tội phạm chiến tranh
từ A đến Z
từ điển bách khoa
từ điển giải thích
từ điển song ngữ
từ điển trực tuyến
từ điển tường giải
từ điển điện tử
tự do chủ nghĩa
tự nhiên chủ nghĩa
tỷ giá hối đoái
tỷ giá thả nổi
tỷ lệ bản đồ
tỷ lệ phần trăm
uỷ ban nhân dân
uỷ ban quân quản
vi sinh vật học
vi tiểu hình hoá
vi điện tử học
vô tuyến truyền hình
vùng kinh tế mới
vùng sâu vùng xa
vùng và vùng vằng
văn hoá quần chúng
văn học dân gian
văn học thành văn
văn học truyền khẩu
văn học truyền miệng
vũ khí hoá học
vũ khí hạt nhân
vũ khí sinh học
vũ khí tên lửa
vũ khí vi trùng
vất va vất vưởng
vật lí cổ điển
vật lí hiện đại
vật lí hạt nhân
vật lí sinh vật
vật lí trị liệu
vật lý cổ điển
vật lý hiện đại
vật lý hạt nhân
vật lý sinh vật
vật lý trị liệu
vắt va vắt vẻo
vệ tinh nhân tạo
vệ tinh địa tĩnh
xoá đói giảm nghèo
xã hội chủ nghĩa
xì xà xì xồ
xì xà xì xụp
xí xa xí xớn
xúng xa xúng xính
xử lí từ xa
xử lí văn bản
xử lý từ xa
xử lý văn bản
ái nam ái nữ
áp thấp nhiệt đới
âm âm u u
ì à ì ạch
í a í ới
óng a óng ánh
ô tô du lịch
ông bà ông vải
õng a õng ẹo
õng à õng ẹo
ù à ù ờ
ù ù cạc cạc
ú a ú ớ
đa dạng sinh học
đi tắt đón đầu
điều hoà không khí
điều hoà nhiệt độ
điều khiển từ xa
điều tra cơ bản
điện sinh lí học
điện sinh lý học
điện thoại di động
điện thoại truyền hình
đàn tam thập lục
đánh giáp lá cà
đánh đùng một cái
đù đà đù đờ
đú đa đú đởn
đơn vị học trình
đơn vị tiền tệ
đơn vị điều khiển
đơn vị đo lường
đường lối quần chúng
đại biện lâm thời
đại biện thường trú
đại lượng biến thiên
đại lượng không đổi
đại đồng tiểu dị
đạo Bà La Môn
đạo quân thứ năm
đấu tranh chính trị
đấu tranh giai cấp
đấu tranh sinh tồn
đấu tranh tư tưởng
đấu tranh vũ trang
đầu cơ trục lợi
đầu tư chiều sâu
đặc khu kinh tế
đặc quyền lãnh sự
đặc quyền ngoại giao
đặc quyền đặc lợi
đế quốc chủ nghĩa
đền ơn đáp nghĩa
địa lí kinh tế
địa lí tự nhiên
địa lý kinh tế
địa lý tự nhiên
địa phương chủ nghĩa
định luật bảo toàn
định lí phản nhau
định vị toàn cầu
đốt cháy giai đoạn
đồng hồ báo thức
đồng hồ bấm giây
đồng hồ mặt trời
đồng hồ nguyên tử
đồng hồ quả lắc
đồng nhân dân tệ
đồng vị phóng xạ
độ ẩm không khí
độc mồm độc miệng
độc thoại nội tâm
đội quân thứ năm
động cơ phản lực
động cơ vĩnh cửu
động cơ đốt ngoài
động cơ đốt trong
động vật có vú
động vật nguyên sinh
đủng đa đủng đỉnh
đủng đà đủng đỉnh
đứt ruột đứt gan
ưỡn a ưỡn ẹo
ưỡn à ưỡn ẹo
ấm a ấm ớ
ấm a ấm ứ
ấm a ấm ức
ấp a ấp úng
ậm à ậm ạch
ẽo à ẽo ợt
ọp à ọp ẹp
ỏn a ỏn ẻn
ỏn à ỏn ẻn
ổ đĩa cứng ngoài
